symbol,name,exchange,index,isin
0001.KL,SUPERCOMNET TECHNOLOGIES BERHAD,XKLS,,
0002.KL,KOTRA INDUSTRIES BERHAD,XKLS,,
0005.KL,UCREST BERHAD,XKLS,,
0006.KL,PINEAPPLE RESOURCES BERHAD,XKLS,,
0007.KL,PUC BERHAD,XKLS,,
0008.KL,WILLOWGLEN MSC BERHAD,XKLS,,
0010.KL,IRIS GROUP BERHAD,XKLS,,
0011.KL,BRITE-TECH BERHAD,XKLS,,
0012.KL,THREE-A RESOURCES BERHAD,XKLS,,
0017.KL,NOVA TECHNOLOGY SERVICES BERHAD,XKLS,,
0018.KL,LAMBO GROUP BERHAD,XKLS,,
0020.KL,NETX HOLDINGS BERHAD,XKLS,,
0022.KL,PARLO BERHAD,XKLS,,
0023.KL,IFCA MSC BERHAD,XKLS,,
0024.KL,JAG BERHAD,XKLS,,
0025.KL,YBS INTERNATIONAL BERHAD,XKLS,,
0026.KL,NOVA MSC BERHAD,XKLS,,
0028.KL,SCOPE INDUSTRIES BERHAD,XKLS,,
0029.KL,DIGISTAR CORPORATION BERHAD,XKLS,,
0032.KL,REDTONE DIGITAL BERHAD,XKLS,,
0034.KL,MMAG HOLDINGS BERHAD,XKLS,,
0035.KL,HEXTAR CAPITAL BERHAD,XKLS,,
0036.KL,KEY ALLIANCE GROUP BERHAD,XKLS,,
0037.KL,RGB INTERNATIONAL BHD,XKLS,,
0038.KL,ARTRONIQ BERHAD,XKLS,,
0039.KL,GFM SERVICES BERHAD,XKLS,,
0040.KL,OPENSYS (M) BERHAD,XKLS,,
0041.KL,HONG SENG CONSOLIDATED BERHAD,XKLS,,
0043.KL,METRONIC GLOBAL BERHAD,XKLS,,
0045.KL,SOUTHERN SCORE BUILDERS BERHAD,XKLS,,
0048.KL,ANCOM LOGISTICS BERHAD,XKLS,,
0049.KL,OCEANCASH PACIFIC BERHAD,XKLS,,
0050.KL,SYSTECH BHD,XKLS,,
0051.KL,CUSCAPI BERHAD,XKLS,,
0053.KL,OSK VENTURES INTERNATIONAL BERHAD,XKLS,,
0054.KL,KARYON INDUSTRIES BERHAD,XKLS,,
0055.KL,SERSOL BERHAD,XKLS,,
0056.KL,NCT ALLIANCE BERHAD,XKLS,,
0058.KL,JCBNEXT BERHAD,XKLS,,
0059.KL,ECOBUILT HOLDINGS BERHAD,XKLS,,
0060.KL,HARVEST MIRACLE CAPITAL BERHAD,XKLS,,
0064.KL,EFFICIENT E-SOLUTIONS BERHAD,XKLS,,
0065.KL,EXCEL FORCE MSC BERHAD,XKLS,,
0066.KL,VSOLAR GROUP BERHAD,XKLS,,
0068.KL,ASDION BERHAD,XKLS,,
0069.KL,VINVEST CAPITAL HOLDINGS BERHAD,XKLS,,
0070.KL,MQ TECHNOLOGY BERHAD,XKLS,,
0072.KL,ERDASAN GROUP BERHAD,XKLS,,
0074.KL,GREEN OCEAN CORPORATION BERHAD,XKLS,,
0075.KL,LYC HEALTHCARE BERHAD,XKLS,,
0078.KL,GDEX BERHAD,XKLS,,
0079.KL,ALDRICH RESOURCES BERHAD,XKLS,,
0080.KL,STRAITS ENERGY RESOURCES BERHAD,XKLS,,
0081.KL,REKATECH CAPITAL BERHAD,XKLS,,
0082.KL,GREEN PACKET BERHAD,XKLS,,
0083.KL,NOTION VTEC BERHAD,XKLS,,
0084.KL,FAST ENERGY HOLDINGS BERHAD,XKLS,,
0085.KL,MLABS SYSTEMS BERHAD,XKLS,,
0086.KL,YGL CONVERGENCE BERHAD,XKLS,,
0089.KL,TEX CYCLE TECHNOLOGY (M) BERHAD,XKLS,,
0090.KL,ELSOFT RESEARCH BERHAD,XKLS,,
0091.KL,PROPEL GLOBAL BERHAD,XKLS,,
0092.KL,MTOUCHE TECHNOLOGY BERHAD,XKLS,,
0093.KL,SOLUTION GROUP BERHAD,XKLS,,
0094.KL,ZEN TECH INTERNATIONAL BERHAD,XKLS,,
0095.KL,MAG HOLDINGS BERHAD,XKLS,,
0096.KL,NEXGRAM HOLDINGS BERHAD,XKLS,,
0097.KL,VITROX CORPORATION BERHAD,XKLS,,MYL0097OO007
0098.KL,AUMAS RESOURCES BERHAD,XKLS,,
0099.KL,SCICOM (MSC) BERHAD,XKLS,,
0100.KL,ES CERAMICS TECHNOLOGY BHD,XKLS,,
0101.KL,TMC LIFE SCIENCES BERHAD,XKLS,,
0102.KL,WAJA KONSORTIUM BERHAD,XKLS,,
0103.KL,M N C WIRELESS BERHAD,XKLS,,
0104.KL,GENETEC TECHNOLOGY BERHAD,XKLS,,
0105.KL,ASIA POLY HOLDINGS BERHAD,XKLS,,
0106.KL,OPENMOVE AI BERHAD,XKLS,,
0107.KL,EDUSPEC HOLDINGS BERHAD,XKLS,,
0108.KL,N2N CONNECT BERHAD,XKLS,,
0109.KL,SC ESTATE BUILDER BERHAD,XKLS,,
0111.KL,K-ONE TECHNOLOGY BERHAD,XKLS,,
0112.KL,MIKRO MSC BERHAD,XKLS,,
0113.KL,MMS VENTURES BERHAD,XKLS,,
0116.KL,FOCUS DYNAMICS GROUP BERHAD,XKLS,,
0117.KL,SMRT HOLDINGS BERHAD,XKLS,,
0118.KL,TRIVE PROPERTY GROUP BERHAD,XKLS,,
0119.KL,APPASIA BERHAD,XKLS,,
0120.KL,VISDYNAMICS HOLDINGS BERHAD,XKLS,,
0122.KL,ADVANCE INFORMATION MARKETING BERHAD,XKLS,,
0123.KL,PRIVASIA TECHNOLOGY BERHAD,XKLS,,
0126.KL,MICROLINK SOLUTIONS BERHAD,XKLS,,
0127.KL,JHM CONSOLIDATION BERHAD,XKLS,,
0128.KL,FRONTKEN CORPORATION BERHAD,XKLS,,
0129.KL,SILVER RIDGE HOLDINGS BHD,XKLS,,
0131.KL,DIVFEX BERHAD,XKLS,,
0132.KL,TECHNODEX BHD,XKLS,,
0133.KL,SANICHI TECHNOLOGY BERHAD,XKLS,,
0136.KL,GREENYIELD BERHAD,XKLS,,
0138.KL,ZETRIX AI BERHAD,XKLS,,
0140.KL,XOX NETWORKS BERHAD,XKLS,,
0143.KL,KEY ASIC BERHAD,XKLS,,
0145.KL,TFP SOLUTIONS BERHAD,XKLS,,
0146.KL,JF TECHNOLOGY BERHAD,XKLS,,
0147.KL,INNITY CORPORATION BERHAD,XKLS,,
0148.KL,SUNZEN GROUP BERHAD,XKLS,,
0149.KL,FIBON BERHAD,XKLS,,
0150.KL,FINTEC GLOBAL BERHAD,XKLS,,
0151.KL,KELINGTON GROUP BERHAD,XKLS,,
0152.KL,DGB ASIA BERHAD,XKLS,,
0153.KL,OVERSEA ENTERPRISE BERHAD,XKLS,,
0154.KL,EA HOLDINGS BERHAD,XKLS,,
0155.KL,MALAYSIAN GENOMICS RESOURCE CENTRE BERHAD,XKLS,,
0156.KL,MANAGEPAY SYSTEMS BERHAD,XKLS,,
0157.KL,FOCUS POINT HOLDINGS BERHAD,XKLS,,
0158.KL,SCC HOLDINGS BERHAD,XKLS,,
0159.KL,MMM GROUP BERHAD,XKLS,,
0160.KL,HIAP HUAT HOLDINGS BERHAD,XKLS,,
0161.KL,HEXTAR INDUSTRIES BERHAD,XKLS,,
0162.KL,WIDAD GROUP BERHAD,XKLS,,
0163.KL,CAREPLUS GROUP BERHAD,XKLS,,
0165.KL,XOX BHD,XKLS,,
